순위,제목,가수,앨범명
1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2,LOVE DIVE,IVE (아이브),LOVE DIVE
3,TOMBOY,(여자)아이들,I NEVER DIE
4,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
5,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
6,GANADARA (Feat. 아이유),박재범,GANADARA
7,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
8,취중고백,김민석 (멜로망스),취중고백
9,우리들의 블루스,임영웅,IM HERO
10,INVU,태연 (TAEYEON),INVU - The 3rd Album
11,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까
12,LOVE me,BE'O (비오),LOVE me
13,ELEVEN,IVE (아이브),ELEVEN
14,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
15,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
16,RUN2U,STAYC(스테이씨),YOUNG-LUV.COM
17,신호등,이무진,신호등
18,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY)
19,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
20,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
21,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
22,그대라는 사치,임영웅,사랑의 콜센타 PART62
23,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
24,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2
25,MY BAG,(여자)아이들,I NEVER DIE
26,HERO,임영웅,HERO
27,STAY,The Kid LAROI,Stay
28,드라마,아이유,조각집
29,Real Love,오마이걸 (OH MY GIRL),Real Love
30,끝사랑,임영웅,사랑의 콜센타 PART61
31,버퍼링 (Glitch Mode),NCT DREAM,Glitch Mode - The 2nd Album
32,Darl+ing,세븐틴,Darl+ing
33,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3
34,strawberry moon,아이유,strawberry moon
35,Bk Love,임영웅,뽕숭아학당 PART23
36,Step Back,GOT the beat,Step Back
37,내가 아니라도,주호,내가 아니라도
38,사랑인걸,한동근,사랑인걸
39,Next Level,aespa,Next Level
40,너를 생각해,주시크 (Joosiq),너를 생각해
41,"스물다섯, 스물하나",자우림,"Goodbye, grief."
42,너의 번호를 누르고,김나영,너의 번호를 누르고
43,Weekend,태연 (TAEYEON),Weekend
44,abcdefu,GAYLE,abcdefu
45,아무래도 난,주시크 (Joosiq),아무래도 난
46,호랑수월가,탑현,호랑수월가
47,어제처럼,폴킴,어제처럼
48,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
49,Dynamite,방탄소년단,Dynamite (DayTime Version)
50,라일락,아이유,IU 5th Album 'LILAC'
51,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))"
52,Butter,방탄소년단,Butter
53,That's Hilarious,Charlie Puth,That's Hilarious
54,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈)
55,Starlight,태일 (TAEIL),스물다섯 스물하나 OST Part 1
56,봄 사랑 벚꽃 말고,HIGH4 (하이포),봄 사랑 벚꽃 말고
57,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT
58,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집
59,Permission to Dance,방탄소년단,Butter / Permission to Dance
60,Dreams Come True,aespa,Dreams Come True - SM STATION
61,Savage,aespa,Savage - The 1st Mini Album
62,걷고 싶다,임영웅,사랑의 콜센타 PART39
63,DAYDREAM,하이라이트 (Highlight),DAYDREAM
64,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집
65,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),Red Moon : Beyond The Light
66,내 생에 아름다운,이예준,내 생에 아름다운
67,문득,BE'O (비오),Bipolar
68,봄날,방탄소년단,YOU NEVER WALK ALONE
69,Blueming,아이유,Love poem
70,Celebrity,아이유,IU 5th Album 'LILAC'
71,니 소식2,송하예,니 소식2 X 송하예
72,벚꽃이 피면 우리 그만 헤어져,벤,벚꽃이 피면 우리 그만 헤어져
73,내 손을 잡아,아이유,최고의 사랑 OST Part.4
74,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick),쇼미더머니 10 Episode 3
75,고백,멜로망스,세 번째 '고백'
76,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
77,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix
78,Bad Habits,Ed Sheeran,=
79,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
80,My Universe,Coldplay,My Universe
81,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
82,헤픈 우연,헤이즈 (Heize),HAPPEN
83,Off My Face,Justin Bieber,Justice (The Complete Edition)
84,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
85,서랍,10CM,그 해 우리는 OST Part.1
86,나는 트로트가 싫어요,임창정,별거 없던 그 하루로
87,북극성 (Never Goodbye),NCT DREAM,Glitch Mode - The 2nd Album
88,마지막 너의 인사,헤이즈 (Heize),우리들의 블루스 OST Part 2
89,우연히 봄,로꼬,냄새를 보는 소녀 OST Part.2
90,"아주, 천천히",비비 (BIBI),스물다섯 스물하나 OST Part 3
91,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
92,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle)
93,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE
94,롤린 (Rollin'),브레이브걸스,Rollin'
95,O.O,NMIXX,AD MARE
96,겨울잠,아이유,조각집
97,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
98,D-DAY,휘인 (Whee In),D-DAY
99,언덕나무,이승윤,그 해 우리는 OST Part.7
100,Can't Control Myself,태연 (TAEYEON),Can't Control Myself
